provider_id,npi,name,specialty,street,city,state,zip,phone
PRV00001,8034450764,Kenneth Odonnell,Orthopedics,36538 Johnson Lake Apt. 991,East Terry,VA,17196,001-280-638-3501x373
PRV00002,7572701670,Janice Fitzgerald,OB/GYN,06223 Hayes Rue Suite 146,North Staceymouth,IN,76463,263.577.9592x3062
PRV00003,6278660951,Joy Bryant,OB/GYN,765 Browning Parks Suite 985,Martinville,PA,19858,971-998-6061x123
PRV00004,3640659074,Ivan Ortiz,Gastroenterology,866 Michelle Stream,Leefurt,MN,70353,001-355-651-6274x5146
PRV00005,5523482116,Jeremy Osborne,Cardiology,57352 Higgins Circle Apt. 324,East Kristy,MP,12022,001-298-390-3765x688
PRV00006,5280074987,Brenda Mccall,Pediatrics,9961 Cole Brook Apt. 526,Erikberg,SD,15144,647-387-5219x1517
PRV00007,8528773503,Nicholas Rodriguez,Cardiology,718 Morales Ridge,West Richardside,NJ,85675,939-287-7268
PRV00008,7664926547,Veronica Taylor,OB/GYN,946 Flores Camp Suite 906,Whitakerfort,DC,49710,216-245-8435x9845
PRV00009,7434059563,Samantha Riley,Internal Medicine,9865 Tonya Lane,East Ralph,ND,63407,849.938.4140x25525
PRV00010,6892155974,Jessica Smith,Neurology,3782 Campos Garden,South Melissaborough,WA,09292,+1-613-297-1338x3421
PRV00011,1132511277,Reginald Harris,Pediatrics,0424 Jonathan Port Suite 416,New Thomas,IL,62272,001-987-916-4589x283
PRV00012,8309762806,Ashley Lin,Endocrinology,94346 Alicia Trace Suite 039,Grantfort,NH,54477,001-753-631-6272x99362
PRV00013,9907229993,Christine Martin,Cardiology,92449 Taylor Corners,Leetown,MA,81526,392.598.7955x05848
PRV00014,9794697525,Jon Newman,Oncology,85556 Samuel Lane,Kevinview,KY,92312,001-959-826-0418x247
PRV00015,1434038808,Robert Rangel,OB/GYN,9051 Perry Walks Suite 552,North Jason,MP,66594,001-277-888-3485
PRV00016,6115938973,Melanie Myers,Pediatrics,274 Elizabeth Drive,Port Kimberly,TX,67833,+1-761-800-0680x714
PRV00017,9934854326,Tammy Young,Psychiatry,5724 Dixon Summit,New Gregory,MT,12273,5536122184
PRV00018,7108358030,Kendra Hernandez,Oncology,567 Roger Fork,North Marissabury,VI,75505,(450)577-9469
PRV00019,9007349813,Timothy Bolton,Cardiology,1389 Raymond Unions,Juliaburgh,MH,17657,+1-977-616-7098x390
PRV00020,2988530373,Daniel Foster,Urology,8255 Jackson Mountains,New Timothyview,VA,01902,001-571-843-5177x1278
PRV00021,9141030413,Willie Horton,OB/GYN,64841 Miller Island Apt. 369,South Scottshire,CO,13934,(435)477-3361x9606
PRV00022,9975289016,Theresa Garza,Orthopedics,285 Megan Knolls,Meltonfort,FL,53347,589.609.1124
PRV00023,5123084939,Richard Riggs,Gastroenterology,872 Nathan Crossroad,Lake Marissa,AZ,95464,610.881.2853x54360
PRV00024,8331199905,Casey Smith,Psychiatry,8039 Jackson Inlet,East Rebecca,OR,12061,415.310.3906
PRV00025,5637249187,Kaylee Alexander,Orthopedics,8409 Taylor Terrace Apt. 367,South Scott,MH,19339,831.471.7713x9730
PRV00026,5697636074,Krista Rodriguez,OB/GYN,924 Rodriguez Via,Port Manuelhaven,NC,24856,938-968-4980x45260
PRV00027,5627783892,Theresa Rodriguez,Dermatology,5257 Mccarthy Burg,Stokestown,DE,81258,596-982-7327x064
PRV00028,6199751991,Jamie Glass,Psychiatry,62532 Weaver Valley,Leslieton,NH,70219,878.799.2996x3921
PRV00029,5939307626,Terri Hunt,Urology,0501 Aaron Cove Apt. 145,Oconnorfurt,AK,75113,001-960-644-7868x6288
PRV00030,4363633406,Steven Lamb,Urology,6814 Williams Centers,Port Richard,MD,64685,5709287435
